Genre,Count
Documentaries,869
International TV Shows,1351
TV Dramas,763
TV Mysteries,98
Crime TV Shows,470
TV Action & Adventure,168
Docuseries,395
Reality TV,255
Romantic TV Shows,370
TV Comedies,581
TV Horror,75
Children & Family Movies,641
Dramas,2427
Independent Movies,756
International Movies,2752
British TV Shows,253
Comedies,1674
Spanish-Language TV Shows,174
Thrillers,577
Romantic Movies,616
Music & Musicals,375
Horror Movies,357
Sci-Fi & Fantasy,243
TV Thrillers,57
Kids' TV,451
Action & Adventure,859
TV Sci-Fi & Fantasy,84
Classic Movies,116
Anime Features,71
Sports Movies,219
Anime Series,176
Korean TV Shows,151
Science & Nature TV,92
Teen TV Shows,69
Cult Movies,71
TV Shows,16
Faith & Spirituality,65
LGBTQ Movies,102
Stand-Up Comedy,343
Movies,57
Stand-Up Comedy & Talk Shows,56
Classic & Cult TV,28
